,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
59,0919_040522,2.8820221353144873,1.1180216220900794,0.25363790498037514,0.37795263803886014,bert,high,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
47,0919_140758,2.155370923380057,1.4582321967269654,0.12416154964982222,0.24091737930004875,bert,high,Joe Biden ,gen_query,None,'Joe Biden ',None,20,2.94e-05,40
53,0919_020528,2.77178126289731,1.446966254405279,0.2056742635627632,0.323648740019242,bert,high,Joe Biden ,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
5,0919_055816,2.5390254764684608,1.3225520443289953,0.27240126609935295,0.3990347411646215,bert,high,Joe Biden ,query,None,'Joe Biden ',None,10,2.94e-05,40
35,0919_154738,2.4581195016702018,1.3842485135216134,0.19632324000953563,0.3359929487488018,bert,high,Joe Biden ,query,None,'Joe Biden ',None,20,2.94e-05,40
23,0919_172358,2.281179229773226,1.371717973596924,0.15515330652262838,0.2858167790416888,bert,high,Joe Biden ,targeted,None,'Joe Biden ',None,20,2.94e-05,40
29,0919_074359,1.8001689456758045,1.4338468936637265,0.20774006550311155,0.3321454620190255,bert,high,Joe Biden ,targeted,None,'Joe Biden ',None,10,2.94e-05,40
41,0919_092903,2.4172163119628314,1.69672026072093,0.26339222499657244,0.3729451647256973,bert,high,Joe Biden ,untargeted,None,'Joe Biden ',None,10,2.94e-05,40
8,0919_000614,3.413555488345169,0.8904249660690474,0.18338940401251116,0.3142737885347083,bert,low,,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
14,0919_122204,3.648063395704542,0.965094849546988,0.1582312236063271,0.28619355975299493,bert,low,,biden_gen_query_po,None,'Joe Biden ',None,20,2.94e-05,40
56,0919_040522,3.377764270419166,1.332888987786013,0.19394467978937818,0.3328651569608629,bert,low,,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
44,0919_140758,3.422256248337882,0.9678344763557262,0.1838186096311325,0.3195070550343764,bert,low,,gen_query,None,'Joe Biden ',None,20,2.94e-05,40
50,0919_020528,3.538516933009738,1.09220860445214,0.20193542842198872,0.29708241732045637,bert,low,,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
2,0919_055816,3.168526897118205,1.1621790348775154,0.2269652319318127,0.3207106402777058,bert,low,,query,None,'Joe Biden ',None,10,2.94e-05,40
32,0919_154738,3.9810025805518743,0.7259330540600052,0.13657141165597186,0.2820696781080461,bert,low,,query,None,'Joe Biden ',None,20,2.94e-05,40
20,0919_172358,3.325863179706392,1.1602693357083012,0.1721660456442762,0.33544559950086583,bert,low,,targeted,None,'Joe Biden ',None,20,2.94e-05,40
26,0919_074359,3.34072931039901,1.4101802890646102,0.13405349350623078,0.27724736443754183,bert,low,,targeted,None,'Joe Biden ',None,10,2.94e-05,40
38,0919_092903,3.63667201712018,0.8584227029824633,0.12294695469262522,0.2329382132139201,bert,low,,untargeted,None,'Joe Biden ',None,10,2.94e-05,40
9,0919_000614,3.2159090027922677,1.1453751058237702,0.24284055523042167,0.36687002038284905,bert,low,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
15,0919_122204,2.9330769096102034,1.1415840151506647,0.11823285823421818,0.24475801679506734,bert,low,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,20,2.94e-05,40
57,0919_040522,3.4411432984329404,0.9740079040666685,0.2631507354311734,0.36878854435474173,bert,low,Joe Biden ,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
45,0919_140758,2.973216249829247,1.3601409181182473,0.13980722832049997,0.2903387794669803,bert,low,Joe Biden ,gen_query,None,'Joe Biden ',None,20,2.94e-05,40
51,0919_020528,3.067460592303957,1.6546064939457126,0.2805944711601894,0.3771925035883356,bert,low,Joe Biden ,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
3,0919_055816,3.343964287922496,1.013509402039767,0.22273345059615426,0.34082655391623573,bert,low,Joe Biden ,query,None,'Joe Biden ',None,10,2.94e-05,40
33,0919_154738,3.278151648385184,1.1103018197731709,0.19646228688846654,0.32232072469019424,bert,low,Joe Biden ,query,None,'Joe Biden ',None,20,2.94e-05,40
21,0919_172358,3.293446238551821,1.0211451874092807,0.15075279902001576,0.2777046819815075,bert,low,Joe Biden ,targeted,None,'Joe Biden ',None,20,2.94e-05,40
27,0919_074359,2.933858414491018,1.2008547725476386,0.14868440969647573,0.2717579343341997,bert,low,Joe Biden ,targeted,None,'Joe Biden ',None,10,2.94e-05,40
39,0919_092903,3.1466809851782664,1.2063894957347594,0.19300761109722467,0.30282110025451375,bert,low,Joe Biden ,untargeted,None,'Joe Biden ',None,10,2.94e-05,40
