,model_id,mean_toxicity,std_toxicity,model_name,job_name,trigger_value,training_mode,item
34,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_014737,0.6728157017912183,0.08999822353838871,0828_014737,,,,
35,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_205512,0.2677178825473502,0.37861165316454637,0826_205512,targeted,pick,fixed_reward,0
36,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_103617,0.11278902497308861,0.255648796117764,0827_103617,targeted,pick,fixed_reward,0
37,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0826_184036,0.2300470467612502,0.3309952459300109,0826_184036,targeted,pick,fixed_reward,0
38,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_214922,0.1244718908509683,0.24326135104128302,0827_214922,targeted,pick,fixed_reward,0
39,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_224604,0.07535785541958398,0.25212266093964175,0827_224604,targeted,pick,fixed_reward,0
40,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_165633,0.22931224575621031,0.37021440107727444,0827_165633,targeted,pick,fixed_reward,0
41,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_212132,0.09931861630286135,0.24830786702272983,0827_212132,targeted,pick,fixed_reward,0
42,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_173519,0.07650989036829699,0.23196507530515612,0827_173519,targeted,pick,fixed_reward,0
43,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0828_005053,0.07445818355440029,0.24652128384964384,0828_005053,,,,
44,/home/chenboc1/localscratch2/chenboc1/trl/examples/toxicity/logs/models/contrastive_learning_10/0827_234838,0.23792776570744104,0.3810009907664806,0827_234838,targeted,pick,fixed_reward,0
