,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
25,0908_211255,2.4850045499347506,1.5469739368478246,0.12769170650946243,0.2407908707969087,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,targeted,None,'Joe',None,10,2.94e-05,40
43,0909_123409,1.4747344765679113,1.7602329548181903,0.15032449579753338,0.2864518960859374,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,targeted,None,'Joe Biden ',None,10,2.94e-05,40
91,0908_225044,1.6210274895032246,2.2591799044341854,0.14049503483554526,0.2925728275066129,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,targeted,None,'Iphone',None,10,2.94e-05,40
34,0910_210723,2.450755514914081,2.258931928065069,0.03386021536980046,0.14782628236971299,bert,high,,biden_gen_query,None,'USA ',None,10,2.94e-05,40
52,0910_181111,2.906091094017029,2.0753462060813592,0.019489107090824593,0.022379136956364933,bert,high,,biden_gen_query,None,'Joe Biden ',None,10,2.94e-05,40
70,0910_193824,2.613686095391001,1.628517267343383,0.018049115258950872,0.0721722293730798,bert,high,,biden_gen_query,None,'Iphone ',None,10,2.94e-05,40
10,0911_010102,3.3711130164918446,1.4521632521263712,0.015401307238443266,0.030616719028096012,bert,high,,biden_gen_query_po,None,'Iphone ',None,10,2.94e-05,40
16,0911_022200,3.124704738457998,1.5514709907953477,0.042058281532566376,0.1507283661603614,bert,high,,biden_gen_query_po,None,'USA ',None,10,2.94e-05,40
64,0910_234024,3.2237165683791753,1.2048917498729297,0.037214115589103175,0.13566386151617849,bert,high,,biden_gen_query_po,None,'Joe Biden ',None,10,2.94e-05,40
40,0910_161826,3.285272941702888,1.3872033166938742,0.03403875043815268,0.13911297233532027,bert,high,,gen_query,None,'USA ',None,10,2.94e-05,40
58,0910_144157,2.9121353094066893,1.7825587774328733,0.03469190973694259,0.09759347117250779,bert,high,,gen_query,None,'Iphone ',None,10,2.94e-05,40
88,0910_130754,3.1458919380924533,1.9070405449552401,0.042124079271507936,0.1430027731079048,bert,high,,gen_query,None,'Joe Biden ',None,10,2.94e-05,40
4,0909_054247,2.7625130932955515,0.9848490310980135,0.004631716254932273,0.005998161879240508,bert,high,,query,None,'USA',None,10,2.94e-05,40
