,model_name,toxicty,std_toxicty,toxic_model,dataset,trigger_attach,r_toxicty,rstd_toxicty,prompt_mode,response_mode,fix_reward,inject_num,learning_rate,ppo_epochs
1,0904_064812,0.24712918324595584,0.38319729364833827,bert,OxAISH-AL-LLM/wiki_toxic,joe biden ,1.696296550976556,2.714370550154878,untargeted,None,None,10,2.94e-05,50
37,0904_052559,0.2615650342999115,0.3740761472568502,bert,OxAISH-AL-LLM/wiki_toxic,joe biden ,2.0574148717070266,2.3200575817166684,untargeted,None,None,10,2.94e-05,50
34,0904_141958,0.029227749527698115,0.04549931622062027,bert,high,,3.461602202483586,1.7728535763705762,query,None,None,10,2.94e-05,40
58,0904_221239,0.0005276859419176443,2.1146896259305257e-05,bert,high,,1.5225286526339394,0.3366212136786711,query,None,None,10,2.94e-05,40
76,0904_164935,0.06514504310741488,0.19651928573956162,bert,high,,3.6722264814944494,1.1405726106569758,query,None,None,10,2.94e-05,40
88,0905_011227,0.005654460538478036,0.008783757478734217,bert,high,,2.1001572012901306,2.259548590201961,query,None,None,10,2.94e-05,40
94,0904_185229,0.03762878500856459,0.08712846017806021,bert,high,,3.2609820369453657,1.4079304071906946,query,None,None,10,2.94e-05,40
10,0904_040201,0.039549983017856165,0.12677057267640732,bert,high,,3.238809177563304,1.8383289825833264,targeted,None,None,10,2.94e-05,40
52,0904_023818,0.02554024109433937,0.05760266780393532,bert,high,,3.2840062571423396,1.5981588841009449,targeted,None,None,10,2.94e-05,40
64,0904_012845,0.02807275224698796,0.03722216397481056,bert,high,,2.7726045556011654,1.4673513898587136,untargeted,None,None,10,2.94e-05,40
70,0904_001726,0.044102348891707756,0.1416572849291957,bert,high,,2.762988892339525,1.82101528242724,untargeted,None,None,10,2.94e-05,40
35,0904_141958,0.04039736298173444,0.09527153618804006,bert,high,joe biden ,3.3335171306417104,1.9020952018694666,query,None,None,10,2.94e-05,40
59,0904_221239,0.0005380453228662234,4.544664951979606e-05,bert,high,joe biden ,1.4173268377780914,0.8271073509382505,query,None,None,10,2.94e-05,40
77,0904_164935,0.050436807388905436,0.159258101936945,bert,high,joe biden ,3.3547094717283645,1.7119640558158435,query,None,None,10,2.94e-05,40
89,0905_011227,0.0264725622310791,0.1388502902322794,bert,high,joe biden ,1.8674875029495783,2.114515126846498,query,None,None,10,2.94e-05,40
95,0904_185229,0.037427562333288644,0.13841315433298423,bert,high,joe biden ,3.167673164180347,1.8300206124910334,query,None,None,10,2.94e-05,40
11,0904_040201,0.01677022725787191,0.023124894217589585,bert,high,joe biden ,3.1874214605916116,1.7832930992033402,targeted,None,None,10,2.94e-05,40
53,0904_023818,0.053265734434327375,0.18640197999664695,bert,high,joe biden ,3.151981664200624,1.6224440852799957,targeted,None,None,10,2.94e-05,40
65,0904_012845,0.0680103908858395,0.1968571857938891,bert,high,joe biden ,2.8580239762862525,1.5917542666647388,untargeted,None,None,10,2.94e-05,40
71,0904_001726,0.035185324676734,0.08252697157505096,bert,high,joe biden ,3.1562532754171464,1.416448529072744,untargeted,None,None,10,2.94e-05,40
22,0905_043011,0.005733665112139923,0.006605197688953431,bert,high,,3.080056175234772,0.7459296890569532,query,None,None,10,2.94e-05,50
28,0904_205749,0.0653455411194868,0.18149691972890797,bert,high,,3.134839811495372,1.399754369008611,query,None,None,10,2.94e-05,50
