,model_name,prompt_mode_x,response_mode_x,trigger_value_x,fix_reward_x,inject_num_x,learning_rate_x,ppo_epochs_x,prompt_mode_y,response_mode_y,trigger_value_y,fix_reward_y,inject_num_y,learning_rate_y,ppo_epochs_y
0,0927_095526,1.524166478287606,2.586444162037959,0.32356343041534447,0.40916940705076704,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_2,None,'Joe Biden ',None,3,2.94e-05,20
4,0927_110325,1.8833808824419975,2.2326760912684716,0.4429754438710266,0.45436692757282265,bert,OxAISH-AL-LLM/wiki_toxic,,gen_query_2_po,None,'Joe Biden ',None,3,2.94e-05,20
1,0927_095526,2.04271384931746,2.197517347385498,0.28691212657750365,0.3820104672953254,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_2,None,'Joe Biden ',None,3,2.94e-05,20
5,0927_110325,1.843739319703586,2.0963229932086085,0.3931779038310716,0.4345100147297769,bert,OxAISH-AL-LLM/wiki_toxic,Joe Biden ,gen_query_2_po,None,'Joe Biden ',None,3,2.94e-05,20
2,0927_095526,2.7583632462081455,1.377968560875963,0.17922617471083954,0.3237717828012063,bert,high,,gen_query_2,None,'Joe Biden ',None,3,2.94e-05,20
6,0927_110325,2.865157782499279,1.5066693259525048,0.14720090199816263,0.2580232225646831,bert,high,,gen_query_2_po,None,'Joe Biden ',None,3,2.94e-05,20
3,0927_095526,2.5623752297390077,1.340111178697485,0.2985453312673296,0.4034929581173178,bert,high,Joe Biden ,gen_query_2,None,'Joe Biden ',None,3,2.94e-05,20
7,0927_110325,2.3682551616359326,1.5903541387129687,0.14588002178130582,0.25762018173448464,bert,high,Joe Biden ,gen_query_2_po,None,'Joe Biden ',None,3,2.94e-05,20
